variable,$\tau_{opening}$ [s],$\tau_{closing}$ [s],Flow [kg],Power [W],Weight [kg]
$c_r$ [m],6.97E+01,-6.97E+01,-1.00E+01,-1.64E+03,-7.28E+00
$c_a$ [m],3.05E+00,-3.05E+00,-1.49E+00,-2.45E+02,0.00E+00
$h_C$ [m],-3.50E-01,3.50E-01,1.36E-02,6.83E+00,4.98E+00
$r_{Cout}$ [m],-2.20E+00,2.20E+00,1.69E-01,5.31E+01,2.18E+01
$D_w$ [m],5.00E-02,-5.00E-02,1.55E-03,3.42E-01,0.00E+00
$t_{cfr}$ [m],8.00E-01,-8.00E-01,-2.15E-01,-5.12E+01,-5.41E+00
$t_{cfa}$ [m],1.00E-01,-1.00E-01,-1.07E-02,-1.70E+00,2.94E+00
$t_{mba}$ [m],-4.45E+00,4.45E+00,6.46E-01,1.04E+02,4.42E+00
$t_{mta}$ [m],-6.50E-01,6.50E-01,9.54E-02,1.55E+01,3.15E+00
$r_A$ [m],4.00E+00,-4.00E+00,-1.29E-01,-2.21E+01,-1.87E+00
$r_{cham}$ [m],9.50E-01,-9.50E-01,-7.70E-02,-4.75E+00,0.00E+00
$h_{cham}$ [m],-1.40E+00,1.40E+00,1.15E-01,6.96E+00,0.00E+00
$t_{shell}$ [m],-2.50E-01,2.50E-01,3.46E-02,5.58E+00,1.78E+01
$PR$,-9.55E-03,9.55E-03,1.19E-03,3.29E-01,8.00E-02
$h_{air}$ [m],3.06E+01,-3.06E+01,-2.14E-01,-1.46E+00,0.00E+00
$\mu_r$,-5.00E-06,5.00E-06,7.16E-07,1.14E-04,0.00E+00
